map_id,seed,method,hazard_type,success_before,zero_shot_success_after,adapted_success_after,zero_shot_adaptability,adapted_adaptability,avg_steps_before,zero_shot_avg_steps_after,adapted_avg_steps_after,avg_reward_before,zero_shot_avg_reward_after,adapted_avg_reward_after,episodes_to_recover,path_diversity,number_of_flow_obstacles_added,zero_shot_failure_reason
simple,0,Baseline Q-learning,middle_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-8.0,83.0,50,2,0,invalid_move
simple,0,Flow-guided Q-learning,middle_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,4,2,success
simple,0,Baseline Q-learning,middle_two,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-5.0,83.0,25,2,0,invalid_move
simple,0,Flow-guided Q-learning,middle_two,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-11.0,83.0,50,4,2,invalid_move
simple,0,Baseline Q-learning,turn_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-8.0,83.0,50,2,0,invalid_move
simple,0,Flow-guided Q-learning,turn_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,4,2,success
simple,0,Baseline Q-learning,corridor_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-12.0,83.0,100,2,0,invalid_move
simple,0,Flow-guided Q-learning,corridor_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-12.0,83.0,100,4,2,invalid_move
simple,0,Baseline Q-learning,random_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-2.0,83.0,25,2,0,invalid_move
simple,0,Flow-guided Q-learning,random_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,4,2,success
simple,1,Baseline Q-learning,middle_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-8.0,83.0,25,1,0,invalid_move
simple,1,Flow-guided Q-learning,middle_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,3,2,success
simple,1,Baseline Q-learning,middle_two,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-5.0,83.0,25,1,0,invalid_move
simple,1,Flow-guided Q-learning,middle_two,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,3,2,success
simple,1,Baseline Q-learning,turn_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-7.0,83.0,25,1,0,invalid_move
simple,1,Flow-guided Q-learning,turn_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,3,2,success
simple,1,Baseline Q-learning,corridor_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-3.0,83.0,25,1,0,invalid_move
simple,1,Flow-guided Q-learning,corridor_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,3,2,success
simple,1,Baseline Q-learning,random_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-11.0,83.0,25,1,0,invalid_move
simple,1,Flow-guided Q-learning,random_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,3,2,success
simple,2,Baseline Q-learning,middle_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-8.0,83.0,50,2,0,invalid_move
simple,2,Flow-guided Q-learning,middle_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,4,2,success
simple,2,Baseline Q-learning,middle_two,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-5.0,83.0,50,2,0,invalid_move
simple,2,Flow-guided Q-learning,middle_two,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,4,2,success
simple,2,Baseline Q-learning,turn_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-3.0,83.0,50,2,0,invalid_move
simple,2,Flow-guided Q-learning,turn_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,4,2,success
simple,2,Baseline Q-learning,corridor_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-3.0,83.0,50,2,0,invalid_move
simple,2,Flow-guided Q-learning,corridor_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,4,2,success
simple,2,Baseline Q-learning,random_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-9.0,83.0,50,2,0,invalid_move
simple,2,Flow-guided Q-learning,random_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,4,2,success
simple,3,Baseline Q-learning,middle_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-8.0,83.0,50,2,0,invalid_move
simple,3,Flow-guided Q-learning,middle_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,4,3,success
simple,3,Baseline Q-learning,middle_two,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-5.0,83.0,75,2,0,invalid_move
simple,3,Flow-guided Q-learning,middle_two,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,4,3,success
simple,3,Baseline Q-learning,turn_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-1.0,83.0,25,2,0,invalid_move
simple,3,Flow-guided Q-learning,turn_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-1.0,83.0,25,4,3,invalid_move
simple,3,Baseline Q-learning,corridor_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-12.0,83.0,100,2,0,invalid_move
simple,3,Flow-guided Q-learning,corridor_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,4,3,success
simple,3,Baseline Q-learning,random_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-3.0,83.0,50,2,0,invalid_move
simple,3,Flow-guided Q-learning,random_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,4,3,success
simple,4,Baseline Q-learning,middle_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-8.0,83.0,50,1,0,invalid_move
simple,4,Flow-guided Q-learning,middle_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,3,2,success
simple,4,Baseline Q-learning,middle_two,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-5.0,83.0,50,1,0,invalid_move
simple,4,Flow-guided Q-learning,middle_two,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,3,2,success
simple,4,Baseline Q-learning,turn_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-5.0,83.0,50,1,0,invalid_move
simple,4,Flow-guided Q-learning,turn_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,3,2,success
simple,4,Baseline Q-learning,corridor_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-3.0,83.0,50,1,0,invalid_move
simple,4,Flow-guided Q-learning,corridor_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,3,2,success
simple,4,Baseline Q-learning,random_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-7.0,83.0,50,1,0,invalid_move
simple,4,Flow-guided Q-learning,random_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,3,2,success
simple,5,Baseline Q-learning,middle_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-8.0,83.0,25,1,0,invalid_move
simple,5,Flow-guided Q-learning,middle_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,3,2,success
simple,5,Baseline Q-learning,middle_two,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-5.0,83.0,25,1,0,invalid_move
simple,5,Flow-guided Q-learning,middle_two,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-11.0,83.0,50,3,2,invalid_move
simple,5,Baseline Q-learning,turn_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-8.0,83.0,25,1,0,invalid_move
simple,5,Flow-guided Q-learning,turn_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,3,2,success
simple,5,Baseline Q-learning,corridor_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-12.0,83.0,100,1,0,invalid_move
simple,5,Flow-guided Q-learning,corridor_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-12.0,83.0,100,3,2,invalid_move
simple,5,Baseline Q-learning,random_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-12.0,83.0,100,1,0,invalid_move
simple,5,Flow-guided Q-learning,random_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-12.0,83.0,100,3,2,invalid_move
simple,6,Baseline Q-learning,middle_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-8.0,83.0,50,1,0,invalid_move
simple,6,Flow-guided Q-learning,middle_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,3,2,success
simple,6,Baseline Q-learning,middle_two,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-5.0,83.0,25,1,0,invalid_move
simple,6,Flow-guided Q-learning,middle_two,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-11.0,83.0,75,3,2,invalid_move
simple,6,Baseline Q-learning,turn_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-1.0,83.0,25,1,0,invalid_move
simple,6,Flow-guided Q-learning,turn_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,3,2,success
simple,6,Baseline Q-learning,corridor_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-12.0,83.0,100,1,0,invalid_move
simple,6,Flow-guided Q-learning,corridor_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-12.0,83.0,100,3,2,invalid_move
simple,6,Baseline Q-learning,random_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-11.0,83.0,50,1,0,invalid_move
simple,6,Flow-guided Q-learning,random_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-11.0,83.0,75,3,2,invalid_move
simple,7,Baseline Q-learning,middle_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-8.0,83.0,50,2,0,invalid_move
simple,7,Flow-guided Q-learning,middle_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,3,2,success
simple,7,Baseline Q-learning,middle_two,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-5.0,83.0,25,2,0,invalid_move
simple,7,Flow-guided Q-learning,middle_two,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,3,2,success
simple,7,Baseline Q-learning,turn_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-5.0,83.0,25,2,0,invalid_move
simple,7,Flow-guided Q-learning,turn_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,3,2,success
simple,7,Baseline Q-learning,corridor_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-3.0,83.0,25,2,0,invalid_move
simple,7,Flow-guided Q-learning,corridor_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,3,2,success
simple,7,Baseline Q-learning,random_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-13.0,83.0,50,2,0,invalid_move
simple,7,Flow-guided Q-learning,random_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,3,2,success
simple,8,Baseline Q-learning,middle_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-8.0,83.0,25,1,0,invalid_move
simple,8,Flow-guided Q-learning,middle_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,3,2,success
simple,8,Baseline Q-learning,middle_two,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-5.0,83.0,25,1,0,invalid_move
simple,8,Flow-guided Q-learning,middle_two,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,3,2,success
simple,8,Baseline Q-learning,turn_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-7.0,83.0,25,1,0,invalid_move
simple,8,Flow-guided Q-learning,turn_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,3,2,success
simple,8,Baseline Q-learning,corridor_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-3.0,83.0,25,1,0,invalid_move
simple,8,Flow-guided Q-learning,corridor_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,3,2,success
simple,8,Baseline Q-learning,random_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-3.0,83.0,25,1,0,invalid_move
simple,8,Flow-guided Q-learning,random_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,3,2,success
simple,9,Baseline Q-learning,middle_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-8.0,83.0,50,1,0,invalid_move
simple,9,Flow-guided Q-learning,middle_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,3,2,success
simple,9,Baseline Q-learning,middle_two,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-5.0,83.0,50,1,0,invalid_move
simple,9,Flow-guided Q-learning,middle_two,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-11.0,83.0,75,3,2,invalid_move
simple,9,Baseline Q-learning,turn_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-1.0,83.0,25,1,0,invalid_move
simple,9,Flow-guided Q-learning,turn_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,3,2,success
simple,9,Baseline Q-learning,corridor_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-12.0,83.0,75,1,0,invalid_move
simple,9,Flow-guided Q-learning,corridor_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-12.0,83.0,100,3,2,invalid_move
simple,9,Baseline Q-learning,random_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-3.0,83.0,50,1,0,invalid_move
simple,9,Flow-guided Q-learning,random_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,3,2,success
simple,10,Baseline Q-learning,middle_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-8.0,83.0,50,2,0,invalid_move
simple,10,Flow-guided Q-learning,middle_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,4,3,success
simple,10,Baseline Q-learning,middle_two,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-5.0,83.0,50,2,0,invalid_move
simple,10,Flow-guided Q-learning,middle_two,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,4,3,success
simple,10,Baseline Q-learning,turn_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-8.0,83.0,50,2,0,invalid_move
simple,10,Flow-guided Q-learning,turn_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,4,3,success
simple,10,Baseline Q-learning,corridor_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-12.0,83.0,75,2,0,invalid_move
simple,10,Flow-guided Q-learning,corridor_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,4,3,success
simple,10,Baseline Q-learning,random_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-7.0,83.0,50,2,0,invalid_move
simple,10,Flow-guided Q-learning,random_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,4,3,success
simple,11,Baseline Q-learning,middle_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-8.0,83.0,75,1,0,invalid_move
simple,11,Flow-guided Q-learning,middle_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,3,2,success
simple,11,Baseline Q-learning,middle_two,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-5.0,83.0,50,1,0,invalid_move
simple,11,Flow-guided Q-learning,middle_two,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,3,2,success
simple,11,Baseline Q-learning,turn_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-5.0,83.0,50,1,0,invalid_move
simple,11,Flow-guided Q-learning,turn_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,3,2,success
simple,11,Baseline Q-learning,corridor_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-3.0,83.0,25,1,0,invalid_move
simple,11,Flow-guided Q-learning,corridor_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,3,2,success
simple,11,Baseline Q-learning,random_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-4.0,83.0,50,1,0,invalid_move
simple,11,Flow-guided Q-learning,random_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,3,2,success
simple,12,Baseline Q-learning,middle_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-8.0,83.0,50,2,0,invalid_move
simple,12,Flow-guided Q-learning,middle_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,3,2,success
simple,12,Baseline Q-learning,middle_two,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-5.0,83.0,25,2,0,invalid_move
simple,12,Flow-guided Q-learning,middle_two,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-11.0,83.0,50,3,2,invalid_move
simple,12,Baseline Q-learning,turn_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-8.0,83.0,50,2,0,invalid_move
simple,12,Flow-guided Q-learning,turn_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,3,2,success
simple,12,Baseline Q-learning,corridor_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-12.0,83.0,75,2,0,invalid_move
simple,12,Flow-guided Q-learning,corridor_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-12.0,83.0,50,3,2,invalid_move
simple,12,Baseline Q-learning,random_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-8.0,83.0,50,2,0,invalid_move
simple,12,Flow-guided Q-learning,random_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,3,2,success
simple,13,Baseline Q-learning,middle_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-8.0,83.0,75,1,0,invalid_move
simple,13,Flow-guided Q-learning,middle_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,3,2,success
simple,13,Baseline Q-learning,middle_two,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-5.0,83.0,75,1,0,invalid_move
simple,13,Flow-guided Q-learning,middle_two,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,3,2,success
simple,13,Baseline Q-learning,turn_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-3.0,83.0,50,1,0,invalid_move
simple,13,Flow-guided Q-learning,turn_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,3,2,success
simple,13,Baseline Q-learning,corridor_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-3.0,83.0,50,1,0,invalid_move
simple,13,Flow-guided Q-learning,corridor_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,3,2,success
simple,13,Baseline Q-learning,random_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-13.0,83.0,100,1,0,invalid_move
simple,13,Flow-guided Q-learning,random_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-13.0,83.0,125,3,2,invalid_move
simple,14,Baseline Q-learning,middle_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-8.0,83.0,50,1,0,invalid_move
simple,14,Flow-guided Q-learning,middle_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,3,2,success
simple,14,Baseline Q-learning,middle_two,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-5.0,83.0,50,1,0,invalid_move
simple,14,Flow-guided Q-learning,middle_two,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,3,2,success
simple,14,Baseline Q-learning,turn_one,100.0,0.0,100.0,0.0,1.0,18.0,,18.0,83.0,-3.0,83.0,25,1,0,invalid_move
simple,14,Flow-guided Q-learning,turn_one,100.0,100.0,100.0,1.0,1.0,18.0,18.0,18.0,83.0,83.0,83.0,25,3,2,success
